Features,Weight
id,0.15592366793892887
info__age_60_70,0.019082508841969048
info__age_80_90,0.9664857298667833
info__age_50_60,0.5552776847964006
info__age_90_100,0.1543594545165019
info__age_30_40,0.13002275865444113
info__age_100_110,0.37218680532198267
info__age_20_30,0.38819751468041097
info__age_40_50,0.46012553863313954
info__dead,0.3596248089744476
diagnosis__V426,0.8192515476314005
diagnosis__HIERARCHY_7.2.4.4,0.7330348575890676
diagnosis__4240,0.06438663734376515
diagnosis__41401,0.5016780401051896
diagnosis__HIERARCHY_8.8.3,0.2512433898978803
diagnosis__HIERARCHY_1.2.2,0.28899512824973606
diagnosis__HIERARCHY_8.8,0.3329136137674419
diagnosis__HIERARCHY_17.1.7,0.9069346110064725
diagnosis__HIERARCHY_12.3.1,0.9546818525543147
diagnosis__HIERARCHY_12.3,0.7143862809937623
diagnosis__70707,0.9047491985952593
diagnosis__78969,0.13845527824052772
diagnosis__HIERARCHY_7.2.4,0.9560917138801013
diagnosis__HIERARCHY_7.2.1,0.13848156866101036
diagnosis__HIERARCHY_1,0.9900126449153787
diagnosis__HIERARCHY_1.2,0.2529402305126164
diagnosis__HIERARCHY_7.2.1.2,0.07907955246100318
diagnosis__HIERARCHY_17.1,0.6366223307917367
diagnosis__HIERARCHY_12,0.9819829022496243
diagnosis__11590,0.1285098690561367
diagnosis__HIERARCHY_7.3.1.3,0.02882161101742553
diagnosis__HIERARCHY_3.8,0.20252506057921882
diagnosis__HIERARCHY_10.2,0.3348026716002458
diagnosis__72252,0.4897807270275918
diagnosis__HIERARCHY_10.2.1,0.9157143967747853
diagnosis__HIERARCHY_3.2,0.8079852575832043
diagnosis__2841,0.7920294022638178
diagnosis__4571,0.596614526655555
diagnosis__HIERARCHY_3.11.3,0.682463853221989
diagnosis__3659,0.9385136271123142
diagnosis__7812,0.6487326673185274
diagnosis__496,0.8335941486143511
diagnosis__HIERARCHY_10.3.9.2,0.45033580204177504
diagnosis__V451,0.0750138085843467
diagnosis__HIERARCHY_10.1.4,0.7437881663296794
diagnosis__HIERARCHY_9.8,0.6586579252572011
diagnosis__HIERARCHY_5.8,0.10420565898701606
diagnosis__HIERARCHY_1.1.4,0.6198024780669451
diagnosis__73302,0.6223909196755519
diagnosis__HIERARCHY_6.2.3.2,0.31149134325415684
diagnosis__57400,0.9215485516526959
diagnosis__7392,0.3875706234401949
diagnosis__HIERARCHY_5.4,0.7873181854255142
diagnosis__HIERARCHY_3.11,0.4842611272709282
diagnosis__HIERARCHY_7.2.9.3,0.26490330496644343
diagnosis__HIERARCHY_7.2.9.2,0.7578234973693089
diagnosis__HIERARCHY_8.2.2,0.13156501128433085
diagnosis__7391,0.426999144041568
diagnosis__HIERARCHY_7.2.8,0.16229630048832566
diagnosis__HIERARCHY_7.2.9,0.5851242702197915
diagnosis__HIERARCHY_7.2.6,0.3874348168144991
diagnosis__HIERARCHY_7.2.5,0.6838661134200955
diagnosis__7291,0.489853710898283
diagnosis__73730,0.790635294186499
diagnosis__V5481,0.2971368680561203
diagnosis__HIERARCHY_12.1.2,0.4766717978749162
diagnosis__V4981,0.722147333661099
diagnosis__5758,0.169172200947445
diagnosis__73300,0.8264872995171441
diagnosis__V5842,0.36457536733322804
diagnosis__4139,0.6629212917658743
diagnosis__60091,0.6735133288893173
diagnosis__HIERARCHY_9.8.2,0.2244542303616247
diagnosis__HIERARCHY_6.7.2,0.9474310978802882
diagnosis__V4501,0.612023780477418
diagnosis__HIERARCHY_13.2.2,0.7756218823370515
diagnosis__HIERARCHY_13.2.3,0.6266243880277884
diagnosis__78321,0.849164474045649
diagnosis__V7269,0.09537747091936022
diagnosis__1628,0.8017277469272324
diagnosis__71500,0.12549042376990094
diagnosis__412,0.938737632013462
diagnosis__HIERARCHY_3.3.1,0.8527027450106703
diagnosis__HIERARCHY_7.4.1,0.45973745933847554
diagnosis__72273,0.6938541528237129
diagnosis__72272,0.3903103337156425
diagnosis__HIERARCHY_7.2.4.1,0.8749303261433645
diagnosis__HIERARCHY_16.10.1.1,0.9506102060106805
diagnosis__HIERARCHY_7.2.4.5,0.13828389828190968
diagnosis__HIERARCHY_4.1.3.5,0.6338968959963778
diagnosis__311,0.25458886704719075
diagnosis__HIERARCHY_4.1.3.6,0.0029621024360825254
diagnosis__HIERARCHY_17.2.3,0.146251067898583
diagnosis__HIERARCHY_4.1.3.3,0.9874980083875177
diagnosis__28529,0.40120964199748377
diagnosis__5306,0.917170697162509
diagnosis__5768,0.6105494833774674
diagnosis__7038,0.38110952123229525
diagnosis__71531,0.8821629917881983
diagnosis__72402,0.3843167376233937
diagnosis__53789,0.7141236370015822
diagnosis__HIERARCHY_6.7.6,0.9515072514837788
diagnosis__4280,0.2998007773904322
diagnosis__25002,0.6762919902703086
diagnosis__7241,0.02490771096590938
diagnosis__58881,0.3397354379935956
diagnosis__2720,0.8276477882305165
diagnosis__4271,0.578645566623946
diagnosis__HIERARCHY_7.2.9.4,0.17555340034620315
diagnosis__7248,0.4634042960975022
diagnosis__53011,0.04081646807175998
diagnosis__HIERARCHY_7.3.2,0.8301997485262712
diagnosis__3556,0.060284443125649734
diagnosis__36283,0.4358906756130658
diagnosis__V016,0.9124213002735526
diagnosis__HIERARCHY_7.3.1,0.9476032590618314
diagnosis__V4364,0.8698473298887196
diagnosis__V4365,0.21074074025632972
diagnosis__HIERARCHY_9.7.1,0.40458796081934356
diagnosis__HIERARCHY_2.3,0.1662781889743501
diagnosis__V772,0.8288901765837201
diagnosis__HIERARCHY_9.7.6,0.08558461667736394
diagnosis__HIERARCHY_3.3,0.16979990022675984
diagnosis__2762,0.6768576633432741
diagnosis__HIERARCHY_2.5,0.8651275316642552
diagnosis__56210,0.5286786632113156
diagnosis__40210,0.6099174770730376
diagnosis__HIERARCHY_7.5,0.3047932588622946
diagnosis__3319,0.8630654757774366
diagnosis__HIERARCHY_9.5.2,0.9872644647468071
diagnosis__60000,0.6458699485810838
diagnosis__HIERARCHY_8.1.2,0.013884688319700689
diagnosis__HIERARCHY_10.1.6.2,0.5963313302400499
diagnosis__HIERARCHY_8.1.1,0.10592359127476736
diagnosis__5771,0.2263175002882989
diagnosis__HIERARCHY_10.1.4.2,0.2486149517646774
diagnosis__71536,0.09993198105034262
diagnosis__3312,0.5907864598459899
diagnosis__4118,0.9594971040674163
diagnosis__684,0.9455967710657657
diagnosis__HIERARCHY_7.2.11,0.41763108959604534
diagnosis__29011,0.7724200868932273
diagnosis__HIERARCHY_9.4.1.2,0.8241298546941
diagnosis__HIERARCHY_13.3.3,0.028039123420719125
diagnosis__HIERARCHY_13.3.2,0.0005626725047028769
diagnosis__HIERARCHY_9.12,0.28294212579049227
diagnosis__HIERARCHY_10.3.9,0.4023558707362237
diagnosis__36634,0.898617752145928
diagnosis__42731,0.37635853123626983
diagnosis__HIERARCHY_7.2.11.1,0.8437491835151848
diagnosis__HIERARCHY_7.2.8.4,0.3576793271046058
diagnosis__42732,0.8243476059719753
diagnosis__HIERARCHY_9.12.3,0.6111008280845136
diagnosis__2723,0.024581232102522277
diagnosis__04112,0.8074209396837454
diagnosis__HIERARCHY_7.2.4.3,0.12234679881783805
diagnosis__78605,0.474559949033318
diagnosis__V5861,0.8368440092357637
diagnosis__78600,0.30668900740827365
diagnosis__HIERARCHY_9.6.4,0.6461242049635583
diagnosis__HIERARCHY_17.2.4,0.14855185525601777
diagnosis__V562,0.5894243851134966
diagnosis__78909,0.1021254871168622
diagnosis__HIERARCHY_7.1.2.1,0.6888973301638891
diagnosis__5970,0.9762463604356749
diagnosis__HIERARCHY_7.5.4,0.6886413531341726
diagnosis__4439,0.30203270924292624
diagnosis__HIERARCHY_8.2,0.6079685366792902
diagnosis__HIERARCHY_8.1,0.03199008674898263
diagnosis__HIERARCHY_1.5,0.9756120285512808
diagnosis__7093,0.9161752440041941
diagnosis__HIERARCHY_8.5,0.5070905223777774
diagnosis__7091,0.27651955281860785
diagnosis__33829,0.6986232016846611
diagnosis__HIERARCHY_13.2,0.24621746608602657
diagnosis__HIERARCHY_3.8.5,0.15169457220100435
diagnosis__HIERARCHY_8.5.3,0.6984084931106794
diagnosis__28319,0.21057807207508827
diagnosis__HIERARCHY_13.3,0.29034858785062634
diagnosis__HIERARCHY_13.4,0.29437715466522296
diagnosis__73344,0.19208666879095226
diagnosis__HIERARCHY_13.8,0.32037726050978255
diagnosis__HIERARCHY_13.9,0.6171152001962259
diagnosis__HIERARCHY_1.1,0.5548543981211926
diagnosis__HIERARCHY_4.1.3.7,0.5297920855174282
diagnosis__HIERARCHY_6.7.2.3,0.3210692142310957
diagnosis__HIERARCHY_17.2.5,0.7434600017932493
diagnosis__71945,0.13060387561687514
diagnosis__HIERARCHY_6.7,0.7477859306974364
